SEQN,cycle,paired_days,mean_daily_mims,mean_daily_actilife_steps,mean_nonmissing_step_minutes,mean_positive_step_minutes
78403,2013-2014,9,8437.012333333332,6302.333333333333,1281.0,654.1111111111111
78431,2013-2014,9,4189.181777777778,2972.5555555555557,1281.0,475.0
78434,2013-2014,9,7429.881333333334,8639.666666666666,1281.0,568.4444444444445
78444,2013-2014,9,9375.282111111112,7425.222222222223,1281.0,679.7777777777778
78464,2013-2014,9,11822.095777777777,8964.555555555555,1281.0,701.4444444444445
78497,2013-2014,9,10663.319333333333,10700.333333333334,1281.0,716.3333333333334
78515,2013-2014,9,1883.5855555555556,956.1111111111111,1281.0,260.8888888888889
78561,2013-2014,9,5335.048444444445,4483.555555555556,1281.0,458.55555555555554
78579,2013-2014,9,8324.497888888887,7571.444444444444,1281.0,659.5555555555555
78612,2013-2014,9,11893.932999999999,10545.444444444445,1281.0,764.8888888888889
78698,2013-2014,9,8381.059333333333,6621.0,1281.0,535.4444444444445
78700,2013-2014,9,7425.0128888888885,6443.222222222223,1281.0,614.5555555555555
78702,2013-2014,9,9265.999666666667,9127.666666666666,1281.0,678.4444444444445
78705,2013-2014,9,9732.655888888889,8004.222222222223,1281.0,431.6666666666667
78710,2013-2014,9,10028.712555555556,9012.111111111111,1281.0,663.2222222222222
78739,2013-2014,9,12088.280333333334,10934.333333333334,1281.0,741.0
78748,2013-2014,9,9900.627666666667,9515.444444444445,1281.0,746.6666666666666
78754,2013-2014,9,5308.013888888889,3188.3333333333335,1281.0,519.3333333333334
78838,2013-2014,9,8654.036888888888,7821.777777777777,1281.0,668.8888888888889
78899,2013-2014,9,8554.14822222222,8798.666666666666,1281.0,680.1111111111111
78921,2013-2014,9,8287.66988888889,6382.111111111111,1281.0,695.5555555555555
78928,2013-2014,9,7843.798,5953.666666666667,1281.0,509.6666666666667
78940,2013-2014,9,3780.2391111111106,3373.777777777778,1281.0,320.0
78962,2013-2014,9,9833.073333333332,7911.222222222223,1281.0,604.3333333333334
78968,2013-2014,9,12618.71477777778,10486.333333333334,1281.0,730.1111111111111
78980,2013-2014,9,6368.086444444444,4449.777777777777,1281.0,622.6666666666666
78997,2013-2014,6,5050.082333333333,2951.3333333333335,1135.1666666666667,475.0
79011,2013-2014,9,2546.759444444445,1044.6666666666667,1281.0,358.8888888888889
79031,2013-2014,9,11111.728,9938.0,1281.0,764.7777777777778
79089,2013-2014,9,14390.435222222222,13227.777777777777,1281.0,787.0
79092,2013-2014,9,14584.120111111111,12220.333333333334,1281.0,749.4444444444445
79134,2013-2014,9,9604.701555555557,8694.333333333334,1281.0,693.6666666666666
79152,2013-2014,9,9538.979444444445,9184.444444444445,1281.0,714.3333333333334
79162,2013-2014,9,6028.088222222222,5115.777777777777,1281.0,499.1111111111111
79176,2013-2014,9,7837.634333333333,7917.888888888889,1281.0,533.1111111111111
79179,2013-2014,9,7796.879333333334,6872.555555555556,1281.0,542.2222222222222
79185,2013-2014,9,4165.119555555556,3065.4444444444443,1281.0,379.77777777777777
79206,2013-2014,9,8473.90288888889,7351.222222222223,1281.0,616.6666666666666
79240,2013-2014,9,5835.092777777778,5248.888888888889,1281.0,544.7777777777778
79298,2013-2014,9,11274.20488888889,10229.111111111111,1281.0,715.5555555555555
79322,2013-2014,9,6676.28411111111,4054.5555555555557,1281.0,618.6666666666666
79362,2013-2014,9,1282.0032222222223,1061.4444444444443,1281.0,85.77777777777777
79408,2013-2014,9,8133.5086666666675,8071.888888888889,1281.0,576.2222222222222
79417,2013-2014,9,9248.544666666667,9060.111111111111,1281.0,705.1111111111111
79469,2013-2014,9,9603.313333333332,12127.222222222223,1281.0,691.5555555555555
79546,2013-2014,9,11981.22888888889,9768.777777777777,1281.0,759.7777777777778
79553,2013-2014,9,6743.483666666668,6052.555555555556,1281.0,558.2222222222222
79575,2013-2014,9,14623.632555555556,12399.0,1281.0,736.2222222222222
79599,2013-2014,9,10345.746222222222,8586.666666666666,1281.0,692.7777777777778
79648,2013-2014,9,8237.35811111111,7060.666666666667,1281.0,757.8888888888889
79656,2013-2014,9,8061.494222222223,7824.222222222223,1281.0,666.0
79683,2013-2014,9,10663.027555555556,9359.555555555555,1281.0,738.0
79776,2013-2014,9,17851.67211111111,15307.444444444445,1281.0,811.1111111111111
